AN;MOIS;APT;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;01;FMCZ;1059;1140;0;6,9;20,3;85;1
1990;01;FMEE;39164;38059;731;291,2;959,3;853;24
1990;01;LFBA;883;875;27;0;0,2;157;0
1990;01;LFBD;95798;91982;13094;531;525,3;2645;97
1990;01;LFBE;1228;1150;1577;0;0;337;0
1990;01;LFBH;1279;1322;0;0;0;101;0
1990;01;LFBI;953;925;768;31,8;47,5;264;84
1990;01;LFBL;4523;4575;324;10;6,4;323;1
1990;01;LFBO;123587;120139;7653;840;1481,8;2706;218
1990;01;LFBP;21727;20169;896;102,9;91,9;681;43
1990;01;LFBT;4304;4086;6;1;14;102;0
1990;01;LFBU;1318;1591;202;1,2;1,2;322;0
1990;01;LFBV;1037;232;0;0;0;104;0
1990;01;LFBX;1275;1464;4;0;0;224;0
1990;01;LFBZ;18454;15698;34;15,3;18;400;0
1990;01;LFCI;904;1044;21;0;0;157;0
1990;01;LFCR;2314;2037;1251;0;0;192;0
1990;01;LFKB;24010;18949;315;126,5;335,2;577;108
1990;01;LFKC;2373;1427;0;0;0,7;94;0
1990;01;LFKF;2534;1726;3;0;0,5;159;0
1990;01;LFKJ;20824;17081;97;113,3;386,3;541;179
1990;01;LFLB;3659;3468;28;4,1;0;239;0
1990;01;LFLC;11372;10914;5;227,1;242,6;610;266
1990;01;LFLL;138147;137930;8378;1272,3;1077,3;4594;568
1990;01;LFLP;1787;1845;0;4,7;0;128;0
1990;01;LFLS;28845;30315;486;9;16,1;1163;0
1990;01;LFLX;10;23;0;341,6;64,6;6;34
1990;01;LFMH;3605;3493;0;0,5;3,6;205;0
1990;01;LFML;175460;181601;27567;1561,8;2291,8;4279;505
1990;01;LFMN;187237;179645;8862;1130,6;990,6;8161;252
1990;01;LFMP;16952;14841;72;12,9;48,5;318;0
1990;01;LFMT;38072;35158;218;294,7;387,4;831;121
1990;01;LFMU;1437;1367;25;1,1;0;148;0
1990;01;LFMV;5370;3125;0;143,3;164,7;242;114
1990;01;LFOB;2093;2107;2;1,2;0;31;4
1990;01;LFOH;1170;1169;736;0,1;11,1;498;0
1990;01;LFOP;1022;935;0;1;0;321;1
1990;01;LFOT;1008;1087;39;0;0;109;0
1990;01;LFPG;781114;777844;17351;25490,7;24211,8;17643;719
1990;01;LFPO;848329;896579;7411;12604,7;9812,5;15036;557
1990;01;LFQQ;25067;25343;995;197,4;204,5;1216;225
1990;01;LFRB;19396;17911;124;159;179,7;764;50
1990;01;LFRC;745;747;0;0,6;0,3;203;0
1990;01;LFRD;1718;1525;185;2,5;1,3;223;0
1990;01;LFRH;8829;8078;0;1,3;28,2;186;0
1990;01;LFRK;1040;1092;401;0;0,2;288;2
1990;01;LFRN;7012;6734;141;58,4;66;752;46
1990;01;LFRO;1488;1562;0;3,7;0;116;0
1990;01;LFRQ;3934;3790;0;1,8;7,4;140;3
1990;01;LFRS;35910;34323;4024;109,4;159,5;1510;184
1990;01;LFRT;880;1031;695;0;0;157;0
1990;01;LFSB;54007;58581;1134;645,3;617,7;3272;555
1990;01;LFSD;611;615;1;0;0;278;0
1990;01;LFSF;5690;6160;119;1,8;0,3;865;1
1990;01;LFSN;1968;2063;0;0,4;0,2;254;1
1990;01;LFST;56964;57701;854;368,1;283,4;1626;86
1990;01;LFTH;20768;17304;15;37,1;84;285;0
1990;01;LFTW;14363;13342;35;44;13,6;288;1
1990;01;LFVP;884;910;0;4,6;16,5;203;2
1990;01;NLWW;617;615;825;2,1;10,8;67;0
1990;01;NTAA;28634;34660;5309;115,6;437,4;2723;0
1990;01;NTAT;574;506;0;6,8;3,8;36;0
1990;01;NTGI;475;324;232;2,4;3,4;58;0
1990;01;NTMD;635;476;10;2,3;4;66;0
1990;01;NTTB;4790;4123;299;2;9,8;312;0
1990;01;NTTG;1525;1273;830;7,3;5,9;166;0
1990;01;NTTH;1951;1583;2198;1,6;4;264;0
1990;01;NTTM;8666;6724;746;0,1;0,1;1787;0
1990;01;NTTP;780;497;103;0,5;2,3;60;0
1990;01;NTTR;3317;3087;1046;3;10,9;288;0
1990;01;NWWE;3512;3365;0;2,7;20,7;302;0
1990;01;NWWL;3537;3284;48;3,6;22,8;250;0
1990;01;NWWM;9592;10280;0;68,8;13,4;917;0
1990;01;NWWR;1918;1822;52;6,2;13,2;179;0
1990;01;NWWV;1314;1237;8;1;10,5;112;0
1990;01;NWWW;16012;13214;1432;116,1;467,9;219;1
1990;01;SOCA;10117;12933;4369;247,1;466,5;585;25
1990;01;SOOG;523;638;0;0,5;0,2;122;0
1990;01;TFFF;52056;49091;9181;545,3;649,5;2445;89
1990;01;TFFG;1144;913;0;1,5;6,8;384;0
1990;01;TFFJ;7894;7322;185;1,9;9,4;1619;0
1990;01;TFFM;1564;1700;0;1;4,4;220;0
1990;01;TFFR;47145;48955;20941;215;907,7;2542;55
1990;01;ZZMT;3911;4147;82;16,6;11,5;1798;30
1990;01;ZZOM;4846;4260;1432;17,4;21,8;1234;1
1990;02;FMCZ;1078;896;0;7,5;15,1;70;2
1990;02;FMEE;22502;30424;1153;236,9;1104,5;682;21
